reg,cl_age90,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
75,29,2021-04-27,11,3,7.0,0.0,1.0,420,2
52,39,2021-06-09,5,2,3.0,0.0,0.0,581,3
53,59,2021-02-28,51,8,,,,545,24
53,90,2021-06-11,55,0,24.0,29.0,2.0,767,428
52,69,2020-12-12,127,26,,,,854,93
75,90,2021-07-19,55,0,28.0,27.0,0.0,2008,1039
84,39,2021-03-22,62,6,49.0,3.0,4.0,1699,14
32,0,2021-03-14,2961,505,1728.0,717.0,11.0,25669,6662
28,89,2021-07-19,116,2,55.0,59.0,0.0,3379,1283
1,89,2021-04-21,19,0,13.0,6.0,0.0,122,63
52,49,2021-01-10,12,4,,,,448,8
2,90,2021-03-18,1,0,1.0,0.0,0.0,8,7
28,49,2020-12-07,23,2,,,,343,19
1,90,2021-07-28,3,0,1.0,2.0,0.0,45,25
93,89,2021-05-24,427,16,152.0,258.0,1.0,7700,3250
75,79,2020-12-18,289,67,,,,1411,296
6,9,2021-03-18,0,0,0.0,0.0,0.0,27,0
76,89,2020-03-20,28,5,,,,2,12
11,69,2021-04-15,1587,573,780.0,215.0,19.0,14568,2410
93,89,2021-02-05,1043,39,,,,4813,2025
32,69,2021-06-25,238,60,93.0,82.0,3.0,6869,1130
93,90,2021-07-16,71,0,19.0,52.0,0.0,3568,1884
93,0,2021-03-31,3168,536,1503.0,1088.0,41.0,31762,6680
44,69,2021-06-14,196,51,86.0,57.0,2.0,6908,1087
44,90,2020-12-17,431,6,,,,1699,1086
32,59,2021-05-31,231,82,109.0,36.0,4.0,4966,291
93,29,2021-05-25,21,5,11.0,4.0,1.0,1292,6
2,49,2021-04-21,12,3,9.0,0.0,0.0,82,6
11,29,2021-04-09,137,23,97.0,6.0,11.0,2849,28
4,29,2021-03-20,2,1,1.0,0.0,0.0,85,1
32,49,2021-07-30,39,8,18.0,12.0,1.0,3074,72
1,9,2021-02-13,0,0,,,,21,0
6,0,2021-02-18,127,27,,,,819,74
94,90,2020-12-20,4,0,,,,29,19
3,90,2020-03-19,0,0,,,,0,0
75,29,2021-03-24,10,1,9.0,0.0,0.0,342,2
28,89,2021-06-27,152,1,67.0,84.0,0.0,3332,1273
94,39,2021-01-27,1,0,,,,32,1
53,90,2021-06-27,42,0,17.0,23.0,2.0,781,429
11,49,2021-05-23,362,98,214.0,42.0,8.0,9331,325
3,9,2021-02-23,0,0,,,,122,0
94,0,2021-04-28,82,12,41.0,28.0,1.0,856,191
75,89,2021-05-21,275,17,155.0,103.0,0.0,3775,1533
3,89,2021-05-09,2,1,1.0,0.0,0.0,72,15
11,9,2021-05-23,14,3,11.0,0.0,0.0,914,3
1,90,2021-06-01,5,0,2.0,3.0,0.0,37,19
1,79,2021-01-31,14,2,,,,140,56
94,39,2020-12-30,0,0,,,,31,1
11,49,2021-03-23,380,96,251.0,20.0,13.0,6704,263
2,69,2021-01-10,2,1,,,,80,8
27,69,2020-12-30,236,47,,,,1527,223
3,90,2021-03-12,0,0,,,,10,2
44,39,2021-06-14,25,3,18.0,3.0,1.0,1648,32
75,79,2021-06-24,115,14,49.0,52.0,0.0,3327,772
93,49,2021-03-07,111,26,,,,2009,31
32,9,2020-12-21,6,1,,,,175,0
94,59,2021-07-21,4,1,1.0,1.0,1.0,139,8
76,19,2021-06-01,4,0,3.0,0.0,1.0,187,0
27,90,2021-07-08,56,0,22.0,34.0,0.0,2243,1140
2,89,2021-02-18,0,0,,,,48,12
6,89,2021-04-05,0,0,0.0,0.0,0.0,60,28
84,89,2021-02-03,1175,27,,,,8217,3455
6,39,2021-07-30,0,0,0.0,0.0,0.0,190,1
2,0,2021-02-16,8,2,,,,399,45
84,90,2021-02-22,467,3,,,,4150,2232
2,0,2021-07-30,158,37,116.0,5.0,0.0,931,124
4,90,2021-08-03,5,0,3.0,2.0,0.0,33,26
2,90,2021-03-04,1,0,,,,7,6
32,0,2021-05-22,2509,459,1306.0,732.0,12.0,35853,8912
1,59,2021-06-10,23,7,9.0,7.0,0.0,281,19
94,29,2020-12-05,0,0,,,,19,0
75,59,2021-03-14,85,24,54.0,7.0,0.0,1393,76
75,19,2021-03-18,3,1,2.0,0.0,0.0,99,0
27,29,2020-12-31,19,3,,,,243,2
75,59,2021-06-29,41,12,19.0,10.0,0.0,2159,101
27,19,2021-06-21,2,1,0.0,1.0,0.0,198,0
1,9,2020-12-19,0,0,,,,21,0
3,0,2021-02-18,32,7,,,,2191,78
1,89,2021-02-02,10,0,,,,96,44
93,0,2021-07-17,655,96,136.0,406.0,17.0,40864,8080
